업종,업종코드,공장규모,용도지역,생산품,대기오염,수질오염,소음/진동여부,생활용수(톤/일),산업용수(톤/일),lon,lat
"배전반 및 전기 자동제어반 제조업,유선 통신장비 제조업",2812326410,소기업,도시지역,"자동제어반,전화교환기 등",해당없음,해당없음,무,,,126.972434,37.396817
배전반 및 전기 자동제어반 제조업,28123,소기업,도시지역,판넬,해당없음,해당없음,무,,,126.948243,37.370951
유선 통신장비 제조업,26410,소기업,도시지역,유선 통신장비,해당없음,해당없음,무,,,126.96712,37.398925
"그 외 기타 의료용 기기 제조업,전기식 진단 및 요법 기기 제조업",2719927112,중기업,도시지역,체외진단의료기기 전자진단의료기기,해당없음,해당없음,무,,,126.942553,37.389391
기타 무선 통신장비 제조업,26429,소기업,도시지역,"조명제어시스템, 무선중계시스템",해당없음,해당없음,무,,,126.948737,37.369505
배전반 및 전기 자동제어반 제조업,28123,소기업,도시지역,배전반 및 전기자동제어반,해당없음,해당없음,무,,,126.953098,37.370066
"전자기 측정, 시험 및 분석기구 제조업,기기용 자동측정 및 제어장치 제조업",2721227215,소기업,도시지역,전자시험 및 광계측기,해당없음,해당없음,무,,,126.969176,37.401375
화장품 제조업,20423,소기업,도시지역,유기농화장품,해당없음,해당없음,무,0.7,,126.969136,37.398483
석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,20119,소기업,도시지역,농산물 선도 유지제,해당없음,해당없음,무,,,126.969938,37.396841
기타 무선 통신장비 제조업,26429,소기업,도시지역,무선/유선 통신중계기,해당없음,해당없음,무,,,126.958945,37.392221
공기 조화장치 제조업,29172,소기업,도시지역,풍량조절장치,해당없음,해당없음,무,,,126.94197,37.385123
"전기회로 개폐, 보호장치 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업,전자기 측정, 시험 및 분석기구 제조업,기타 측정, 시험, 항해, 제어 및 정밀기기 제조업,전기회로 접속장치 제조업,축전지 제조업,자동차용 신품 조향장치 및 현가 장치 제조업,자동차용 신품 제동장치 제조업,그 외 자동차용 신품 부품 제조업,자동차 재제조 부품 제조업",2.81E+54,소기업,도시지역,"검사장비, 태양광발전 접속반, 기울기센서, 전기차용 BMS",해당없음,해당없음,무,,,126.96733,37.398413
기타 무선 통신장비 제조업,26429,소기업,도시지역,무선통신장비,해당없음,해당없음,무,,,126.972041,37.395841
정형외과용 및 신체보정용 기기 제조업,27192,소기업,도시지역,보조기,해당없음,해당없음,무,0.01,,126.96757,37.401515
"그 외 기타 의료용 기기 제조업,전자부품 실장기판 제조업",2719926224,소기업,도시지역,"의료기기, 전자부품",해당없음,해당없음,무,,,126.97244,37.39306
모터사이클 제조업,31920,소기업,도시지역,"전기UTV, 전기스쿠터, 전기자전거",해당없음,해당없음,무,,,126.972984,37.391272
"전기회로 개폐, 보호장치 제조업,기기용 자동측정 및 제어장치 제조업,전기회로 접속장치 제조업,전구 및 램프 제조업,일반용 전기 조명장치 제조업,전기경보 및 신호장치 제조업",2.81E+29,소기업,도시지역,"재실감지센서, LED센서등",해당없음,해당없음,무,,,126.971652,37.391287
경 인쇄업,18111,소기업,도시지역,지도,해당없음,해당없음,무,,,126.971652,37.391287
기기용 자동측정 및 제어장치 제조업,27215,중기업,도시지역,검사장비,해당없음,해당없음,무,,,126.949021,37.369382
기타 전기 변환장치 제조업,28119,소기업,도시지역,핸드폰 무선 충전기,해당없음,해당없음,무,,,126.96742,37.399243
컴퓨터 제조업,26310,소기업,도시지역,군용 컴퓨터,해당없음,해당없음,무,,,126.97043,37.398016
비디오 및 기타 영상기기 제조업,26519,소기업,도시지역,Digital Color Viewer,해당없음,해당없음,무,,,126.971652,37.391287
그 외 기타 분류 안된 섬유제품 제조업,13999,소기업,도시지역,극세사 제품,해당없음,해당없음,무,,,126.97244,37.39306
전시 및 광고용 조명장치 제조업,28423,소기업,도시지역,광고용 LED PANEL. LED조명,해당없음,해당없음,무,,,126.968309,37.399485
기타 무선 통신장비 제조업,26429,소기업,도시지역,무선송수신기,해당없음,해당없음,무,,,126.96757,37.401515
반도체 제조용 기계 제조업,29271,소기업,도시지역,머신비전 기기,해당없음,해당없음,무,0,0,126.953098,37.370066
"남자용 겉옷 제조업,여자용 겉옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업",1.41E+24,소기업,도시지역,"의류봉제(바지,면티,점퍼 ㄷㅇ)",해당없음,해당없음,무,,,126.968883,37.393903
"전자감지장치 제조업,방송장비 제조업",2629526421,소기업,도시지역,"외곽보안시스템, 보안시스템",해당없음,해당없음,무,,,126.972984,37.391272
"탄소섬유 제조업,그 외 기타 분류 안된 화학제품 제조업",2399520499,소기업,도시지역,탄소나노튜브 섬유,해당없음,해당없음,무,,,126.96757,37.401515
교통 신호장치 제조업,28903,소기업,도시지역,교통신호제어기,해당없음,해당없음,무,,,126.968883,37.393903
화장품 제조업,20423,소기업,도시지역,동물의약외품,해당없음,해당없음,무,,,126.969136,37.398483
산업용 로봇 제조업,29280,소기업,도시지역,"산업용로롯, 바리스타로봇",해당없음,해당없음,무,0.02,,126.948786,37.374065
"그 외 기타 분류 안된 금속 가공 제품 제조업,피복 및 충전 용접봉 제조업,전시 및 광고용 조명장치 제조업",2.60E+14,소기업,도시지역,색유리전등,해당없음,해당없음,무,3,0,126.958889,37.371776
주형 및 금형 제조업,29294,소기업,도시지역,금형,해당없음,해당없음,무,0,0,126.936041,37.389963
"기타 인쇄업,오프셋 인쇄업",1811918113,소기업,도시지역,라벨인쇄외1종,해당없음,해당없음,무,0,0,126.936041,37.389963
그 외 기타 플라스틱 제품 제조업,22299,소기업,도시지역,플라스틱가공품,해당없음,해당없음,무,0,0,126.936041,37.389963
산업용 로봇 제조업,29280,소기업,도시지역,유연생산시스템,해당없음,해당없음,무,0,0,126.936041,37.389963
기타 음향기기 제조업,26529,소기업,도시지역,POWER AMP,해당없음,해당없음,무,0,0,126.959203,37.403829
기어 및 동력전달장치 제조업,29142,소기업,도시지역,카프링,해당없음,해당없음,무,0,0,126.885566,37.405699
"구두류 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업,편조의복 제조업,기타 편조의복 액세서리 제조업,모자 제조업,그 외 기타 의복액세서리 제조업,기타 신발 제조업",1.52E+54,소기업,도시지역,"등산화, 등산복",해당없음,해당없음,무,0,0,126.936041,37.389963
절연 코드세트 및 기타 도체 제조업,28303,소기업,도시지역,파워케이블,해당없음,해당없음,무,0,0,126.908159,37.392259
동력식 수지공구 제조업,29194,소기업,도시지역,열쇠깍는기계,해당없음,해당없음,무,0,0,126.937077,37.396559
사무용 기계 및 장비 제조업,29180,소기업,도시지역,문서세단기,해당없음,해당없음,무,0,0,126.893671,37.406784
"탭, 밸브 및 유사장치 제조업",29133,중기업,도시지역,산업용밸브,해당없음,해당없음,유,0,0,126.96796,37.396968
"배전반 및 전기 자동제어반 제조업,주방용 전기기기 제조업,기타 가정용 전기기기 제조업,기체 여과기 제조업,액체 여과기 제조업",2.81E+24,소기업,도시지역,"전기렌지,전해살균기",해당없음,해당없음,무,0,0,126.96757,37.401515
레미콘 제조업,23322,소기업,도시지역,레미콘,5종,5종,유,0,0,126.947304,37.382351
표면처리 및 적층 직물 제조업,13994,소기업,도시지역,프린터 리본,해당없음,해당없음,무,0,0,126.960681,37.37199
"전기식 진단 및 요법 기기 제조업,의료용품 및 기타 의약 관련제품 제조업",2711221300,중기업,도시지역,"혈당측정기,혈당측정기용센서",5종,해당없음,유,0,0,126.970411,37.40026
기기용 자동측정 및 제어장치 제조업,27215,소기업,도시지역,자동온도조절기,해당없음,해당없음,무,0,0,126.939287,37.383162
기타 무선 통신장비 제조업,26429,소기업,도시지역,CDMA중계기,해당없음,해당없음,무,0,0,126.973775,37.389576
산업처리공정 제어장비 제조업,27216,소기업,도시지역,압력조정기(정압기),해당없음,해당없음,무,0,0,126.972984,37.391272
액체 여과기 제조업,29175,소기업,도시지역,"마이크로휠터, 정수설비",해당없음,해당없음,무,0,0,126.96757,37.401515
"일반철물 제조업,금속 문, 창, 셔터 및 관련제품 제조업,구조용 금속 판제품 및 공작물 제조업,물질 검사, 측정 및 분석기구 제조업,그 외 기타 전기장비 제조업,공기 조화장치 제조업,산업용 송풍기 및 배기장치 제조업,기체 여과기 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업,그 외 기타 특수목적용 기계 제조업",2.59E+49,소기업,도시지역,"strip door, clean booth",해당없음,해당없음,무,0,0,126.96757,37.401515
"기타 인쇄업,오프셋 인쇄업",1811918113,소기업,도시지역,광고물 실사출력,해당없음,해당없음,무,0,0,126.97033,37.397889
유선 통신장비 제조업,26410,소기업,도시지역,모뎀DSL SUB ASS'Y,해당없음,해당없음,무,0,0,126.946258,37.388541
"그 외 기타 특수목적용 기계 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2929929261,소기업,도시지역,자동차검사용지그,해당없음,해당없음,무,0,0,126.915843,37.409188
교통 신호장치 제조업,28903,소기업,도시지역,LED신호등,해당없음,해당없음,무,0,0,126.970411,37.40026
전자저항기 제조업,26292,소기업,도시지역,전기 저항기,해당없음,해당없음,무,0,0,126.912913,37.40717
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,PCB보드,해당없음,해당없음,무,0,0,126.953159,37.403073
컴퓨터 프린터 제조업,26323,소기업,도시지역,산업용프린터,해당없음,해당없음,무,0,0,126.926395,37.39084
"유선 통신장비 제조업,기타 무선 통신장비 제조업,전기경보 및 신호장치 제조업",2.64E+14,소기업,도시지역,자동차경보장치,해당없음,해당없음,무,0,0,126.927989,37.420085
"기체 여과기 제조업,그 외 기타 전기장비 제조업,액체 여과기 제조업,증류기, 열교환기 및 가스발생기 제조업",2.92E+19,소기업,도시지역,"탈취기, 오존발생기",해당없음,해당없음,무,0,0,126.971023,37.397616
전자 응용 절삭기계 제조업,29221,소기업,도시지역,전자응용 공작기계,해당없음,해당없음,무,0,0,126.93602,37.389053
"컴퓨터 모니터 제조업,텔레비전 제조업,비디오 및 기타 영상기기 제조업,기타 음향기기 제조업,사무용 기계 및 장비 제조업",2.63E+24,소기업,도시지역,USB LCD 모니터,해당없음,해당없음,무,0,0,126.965182,37.399403
"컴퓨터 프린터 제조업,기타 주변기기 제조업",2632326329,소기업,도시지역,프린터,해당없음,해당없음,무,0,0,126.937961,37.390746
전자부품 실장기판 제조업,26224,소기업,도시지역,인쇄회로기판,해당없음,해당없음,무,0,0,126.942396,37.387713
"남자용 겉옷 제조업,그 외 기타 봉제의복 제조업",1411114199,중기업,도시지역,남자용정장,해당없음,해당없음,무,0,0,126.937628,37.387112
떡류 제조업,10711,소기업,도시지역,떡,해당없음,해당없음,무,0,0,126.910939,37.402313
한의약품 제조업,21220,소기업,도시지역,한약제품,해당없음,해당없음,무,0,0,126.938183,37.383008
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,"방범센서, 컨트롤러 외",해당없음,해당없음,무,0,0,126.936041,37.389963
전기경보 및 신호장치 제조업,28901,소기업,도시지역,적외선감지기,해당없음,해당없음,무,,,126.936041,37.389963
"그 외 기타 특수목적용 기계 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2929929261,소기업,도시지역,레이저기계,해당없음,해당없음,무,,,126.938553,37.391166
"체조, 육상 및 체력단련용 장비 제조업",33301,중기업,도시지역,"런닝머신, 자전거",해당없음,해당없음,무,,,126.938763,37.389113
기타 신발 제조업,15219,소기업,도시지역,신발,해당없음,해당없음,무,,,126.917226,37.40101
전자부품 실장기판 제조업,26224,소기업,도시지역,전원공급장치,해당없음,해당없음,무,,,126.933959,37.390232
"기타 무선 통신장비 제조업,방송장비 제조업",2642926421,소기업,도시지역,무선통신 중계기 및 모듈,해당없음,해당없음,무,,,126.938553,37.391166
변압기 제조업,28112,소기업,도시지역,"변압기, R-Core, Toroidal, Transfomer",해당없음,해당없음,무,,,126.93973,37.386221
주형 및 금형 제조업,29294,소기업,도시지역,몰드베이스,해당없음,해당없음,무,,,126.885587,37.405023
"그 외 기타 식료품 제조업,도시락류 제조업",1079910751,소기업,도시지역,냉동즉석식품,해당없음,해당없음,무,1,,126.939426,37.387705
"전기회로 접속장치 제조업,플라스틱 필름 제조업,그 외 기타 플라스틱 제품 제조업,기타 전기 변환장치 제조업",2.81E+19,소기업,도시지역,"컴퍼넌트AV케이블, 게임기액정보호필름",해당없음,해당없음,무,,,126.89153,37.418685
그 외 기타 전자부품 제조업,26299,소기업,도시지역,전선류 가공 외,해당없음,해당없음,무,0.5,0.01,126.934219,37.389397
"전구 및 램프 제조업,일반용 전기 조명장치 제조업,전시 및 광고용 조명장치 제조업",2.84E+14,소기업,도시지역,"LED실내,외 전등",해당없음,해당없음,무,,,126.915978,37.410802
의료용품 및 기타 의약 관련제품 제조업,21300,소기업,도시지역,탈지면 솜,해당없음,해당없음,무,,,126.925959,37.396098
기타 기계.장비 조립용 플라스틱 제품 제조업,22249,소기업,도시지역,플라스틱 사출 도어락 등,해당없음,해당없음,무,,,126.938195,37.388523
"근무복, 작업복 및 유사의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,셔츠 및 블라우스 제조업,그 외 기타 의복액세서리 제조업",1.42E+24,소기업,도시지역,의류제품,해당없음,해당없음,무,,,126.919612,37.397635
기타 인쇄업,18119,소기업,도시지역,인쇄물,해당없음,해당없음,무,,,126.940332,37.391578
자동차용 신품 전기장치 제조업,30332,소기업,도시지역,"자동차부품,전광판,자동차용전자제품,안전용품",해당없음,해당없음,무,,,126.936041,37.389963
"유압기기 제조업,탭, 밸브 및 유사장치 제조업",2912029133,소기업,도시지역,"Hose, 판넬, 자동용접유체시스템",해당없음,해당없음,무,40,,126.890934,37.420058
"유인 항공기, 항공우주선 및 보조장치 제조업,그 외 기타 전자부품 제조업,비디오 및 기타 영상기기 제조업",3.13E+14,소기업,도시지역,"시뮬레이터, VR게임장치, 전자부품",해당없음,해당없음,무,,,126.937312,37.386325
"배전반 및 전기 자동제어반 제조업,유선 통신장비 제조업,기타 절연선 및 케이블 제조업",2.81E+14,소기업,도시지역,자동제어반 외,해당없음,해당없음,무,0,0,126.950668,37.371919
"정형외과용 및 신체보정용 기기 제조업,기타 광학기기 제조업",2719227309,소기업,도시지역,"광학기기,광학부품",해당없음,해당없음,무,0,0,126.950668,37.371919
"전시 및 광고용 조명장치 제조업,유선 통신장비 제조업,기타 무선 통신장비 제조업,방전램프용 안정기 제조업,배전반 및 전기 자동제어반 제조업,전구 및 램프 제조업,일반용 전기 조명장치 제조업,기타 조명장치 제조업",2.84E+39,소기업,도시지역,"조명장치, 중계기",해당없음,해당없음,무,0,0,126.972984,37.391272
그 외 기타 금속가공업,25929,소기업,도시지역,기타기계부품,해당없음,해당없음,무,15,0,126.942396,37.387713
그 외 기타 의복액세서리 제조업,14499,소기업,도시지역,파워글러브,해당없음,해당없음,무,0,0,126.962571,37.406075
의료용품 및 기타 의약 관련제품 제조업,21300,소기업,도시지역,골반파워벨트,해당없음,해당없음,무,0,0,126.954631,37.406068
"탭, 밸브 및 유사장치 제조업",29133,소기업,도시지역,역류방지밸브,해당없음,해당없음,무,0,0,126.971224,37.393626
"비디오 및 기타 영상기기 제조업,기타 음향기기 제조업",2651926529,소기업,도시지역,"Elevation, Screen",해당없음,해당없음,무,0,0,126.958079,37.373174
기타 무선 통신장비 제조업,26429,소기업,도시지역,네비게이션 부품,해당없음,해당없음,유,0,0,126.941734,37.387419
"기타 전기 변환장치 제조업,에너지 저장장치 제조업",2811928114,소기업,도시지역,무정전전원장치,해당없음,해당없음,무,0,0,126.96757,37.401515
기타 무선 통신장비 제조업,26429,소기업,도시지역,이동통신장비,해당없음,해당없음,무,0,0,126.969818,37.397362
"메모리용 전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업",2611126112,소기업,도시지역,"혼성집적회로, 발진기",해당없음,해당없음,무,0,0,126.966774,37.401886
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,중기업,도시지역,리드프레임,해당없음,해당없음,무,0,275,126.951962,37.373057
"방송장비 제조업,전시 및 광고용 조명장치 제조업",2642128423,소기업,도시지역,방송장비용 콘트롤러,해당없음,해당없음,무,0,0,126.972984,37.391272
"경 인쇄업,오프셋 인쇄업",1811118113,소기업,도시지역,경인쇄,해당없음,해당없음,무,0,0,126.95799,37.404918
공기 조화장치 제조업,29172,소기업,도시지역,공기조화장치,해당없음,해당없음,무,0,0,126.948243,37.370951
기타 절연선 및 케이블 제조업,28302,소기업,도시지역,안테나케이블,해당없음,해당없음,무,0,0,126.948243,37.370951
"그 외 기타 전자부품 제조업,전자감지장치 제조업,속도계 및 적산계기 제조업,전기회로 개폐, 보호장치 제조업,전기회로 접속장치 제조업,자동차용 신품 조향장치 및 현가 장치 제조업,자동차용 신품 제동장치 제조업,그 외 자동차용 신품 부품 제조업,자동차 재제조 부품 제조업",2.63E+44,중기업,도시지역,데이터로커,해당없음,해당없음,무,0,0,126.970626,37.39363
"그 외 기타 전자부품 제조업,전자감지장치 제조업,기타 주변기기 제조업,방송장비 제조업,기타 무선 통신장비 제조업",2.63E+24,소기업,도시지역,디지털 캡쳐보드 등,해당없음,해당없음,무,,,126.974757,37.397099
"육상 금속 골조 구조재 제조업,수상 금속 골조 구조재 제조업",2511325114,소기업,도시지역,교량난간,해당없음,해당없음,무,,,126.969176,37.401375
"컨베이어장치 제조업,기타 물품 취급장비 제조업",2916329169,소기업,도시지역,산업용벨트,해당없음,해당없음,무,,,126.969938,37.396841
"경 인쇄업,오프셋 인쇄업",1811118113,소기업,도시지역,경인쇄물,해당없음,해당없음,무,,,126.969938,37.396841
"기타 표시장치 제조업,유기발광 표시장치 제조업",2621926212,소기업,도시지역,평판디스플레이부품,해당없음,해당없음,무,,,126.970254,37.392753
유선 통신장비 제조업,26410,소기업,도시지역,통신부품(대기전력차단스위치),해당없음,해당없음,무,,,126.949628,37.368765
전시용 모형 제조업,33932,소기업,도시지역,조화 및 장식품,해당없음,해당없음,무,,,126.97244,37.39306
"안경 및 안경렌즈 제조업,광학렌즈 및 광학요소 제조업",2719327301,소기업,도시지역,3D렌즈,해당없음,해당없음,무,,,126.96757,37.401515
"승강기 제조업,컨베이어장치 제조업,기타 물품 취급장비 제조업",2.92E+14,소기업,도시지역,"엘리베이터,에스컬레이터",해당없음,해당없음,무,0.2,,126.95217,37.368617
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,중기업,도시지역,RF 제네레이터,해당없음,해당없음,무,,,126.970959,37.398183
기타 종이 상자 및 용기 제조업,17229,소기업,도시지역,한지상품 포장케이스,해당없음,해당없음,무,,,126.969938,37.396841
"그 외 기타 의료용 기기 제조업,정형외과용 및 신체보정용 기기 제조업,기타 광학기기 제조업",2.72E+14,중기업,도시지역,의료용기기(X-rayr기기) 등,해당없음,해당없음,무,,,126.965651,37.399768
"그 외 기타 전자부품 제조업,메모리용 전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업,전자감지장치 제조업,기기용 자동측정 및 제어장치 제조업",2.63E+24,소기업,도시지역,"DigitalMedia,자동차전장관련모듈",해당없음,해당없음,무,,,126.959131,37.391862
"배전반 및 전기 자동제어반 제조업,반도체 제조용 기계 제조업,무인 항공기 및 무인 비행장치 제조업",2.81E+14,중기업,도시지역,"반도체장비, 무인항공기(드론) 등",해당없음,해당없음,무,,,126.964025,37.39651
유선 통신장비 제조업,26410,소기업,도시지역,"광통신부품, 부품소재",해당없음,해당없음,무,,,126.969136,37.398483
간판 및 광고물 제조업,33910,소기업,도시지역,랩핑용 소재 출력 및 코팅,해당없음,해당없음,무,,,126.969136,37.398483
주방용 전기기기 제조업,28511,소기업,도시지역,즉석라면조리기,해당없음,해당없음,무,,,126.972984,37.391272
기어 및 동력전달장치 제조업,29142,소기업,도시지역,충전용 예초기,해당없음,해당없음,무,,,126.951145,37.370112
기타 무선 통신장비 제조업,26429,소기업,도시지역,"통신중계기, AP",해당없음,해당없음,무,0.7,,126.965459,37.400622
"그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,소기업,도시지역,"재난관리시스템, 전자게시판",해당없음,해당없음,무,0.5,,126.974757,37.397099
"그 외 기타 봉제의복 제조업,침구 및 관련제품 제조업,근무복, 작업복 및 유사의복 제조업,편조의복 제조업,그 외 기타 의복액세서리 제조업,일반용 전기 조명장치 제조업,전시 및 광고용 조명장치 제조업,기타 조명장치 제조업",1.42E+39,소기업,도시지역,"Febric Heater, 일반용전기조명장치",해당없음,해당없음,무,,,126.96757,37.401515
"기타 조명장치 제조업,일반용 전기 조명장치 제조업,전시 및 광고용 조명장치 제조업",2.84E+14,소기업,도시지역,"태양광경관등, 태양광도로표시등, 무선터치스위치",해당없음,해당없음,무,,,126.966774,37.401886
주방용 전기기기 제조업,28511,소기업,도시지역,"전기튀김기, 기름정제기 등",해당없음,해당없음,무,,,126.951676,37.404925
주방용 전기기기 제조업,28511,소기업,도시지역,즉석라면조리기,해당없음,해당없음,무,,,126.972984,37.391272
기기용 자동측정 및 제어장치 제조업,27215,소기업,도시지역,지하수 관측장치,해당없음,해당없음,무,,,126.968309,37.399485
"라디오, 녹음 및 재생 기기 제조업,유선 통신장비 제조업,기타 무선 통신장비 제조업,기타 음향기기 제조업,일반용 전기 조명장치 제조업,기타 조명장치 제조업",2.65E+29,소기업,도시지역,"라디오, 녹음 및 재생기기, 조명장치 등",해당없음,해당없음,무,,,126.944108,37.388053
"배전반 및 전기 자동제어반 제조업,컴퓨터 제조업,유선 통신장비 제조업,방송장비 제조업,전시 및 광고용 조명장치 제조업,전기경보 및 신호장치 제조업,교통 신호장치 제조업",2.81E+34,소기업,도시지역,교통신호기 등,해당없음,해당없음,무,,,126.96742,37.399243
"비디오 및 기타 영상기기 제조업,메모리용 전자집적회로 제조업,컴퓨터 제조업,유선 통신장비 제조업,방송장비 제조업,기타 무선 통신장비 제조업,기타 음향기기 제조업,전기회로 개폐, 보호장치 제조업,축전지 제조업,기타 절연선 및 케이블 제조업,절연 코드세트 및 기타 도체 제조업",2.65E+54,소기업,도시지역,"CCTV, DVR 등",해당없음,해당없음,무,245,,126.949198,37.370419
그 외 기타 일반목적용 기계 제조업,29199,소기업,도시지역,진공청소기,해당없음,해당없음,무,,,126.955635,37.402068
전기.전자 및 정밀기기 수리업,34020,소기업,도시지역,전자기기 수리,해당없음,해당없음,무,,,126.969938,37.396841
"방송장비 제조업,컴퓨터 제조업,유선 통신장비 제조업,기타 전기 변환장치 제조업,전기회로 개폐, 보호장치 제조업",2.64E+24,소기업,도시지역,"출입감시장치, 영상감시장치, 서지보호기, 컴퓨터, 정류기",해당없음,해당없음,무,,,126.971652,37.391287
기타 전기 변환장치 제조업,28119,소기업,도시지역,전원공급장치,해당없음,해당없음,무,,,126.971652,37.391287
"물질 검사, 측정 및 분석기구 제조업",27213,소기업,도시지역,화학반응기,해당없음,해당없음,무,,,126.973705,37.393089
"그 외 기타 분류 안된 금속 가공 제품 제조업,구조용 금속 판제품 및 공작물 제조업,일반철물 제조업,체조, 육상 및 체력단련용 장비 제조업,놀이터용 장비 제조업,간판 및 광고물 제조업,전시용 모형 제조업,그 외 기타 달리 분류되지 않은 제품 제조업",2.60E+39,소기업,도시지역,조형물 등,해당없음,해당없음,무,,,126.948786,37.374065
"물질 검사, 측정 및 분석기구 제조업,속도계 및 적산계기 제조업,기기용 자동측정 및 제어장치 제조업,전동기 및 발전기 제조업,배전반 및 전기 자동제어반 제조업",2.72E+24,소기업,도시지역,환경측정계측기,해당없음,해당없음,무,,,126.972984,37.391272
"방송장비 제조업,비디오 및 기타 영상기기 제조업,전시 및 광고용 조명장치 제조업",2.64E+14,소기업,도시지역,"전광판, 무인교통감시장치, 영상감시",해당없음,해당없음,무,,,126.968883,37.393903
"기타 조명장치 제조업,일반용 전기 조명장치 제조업",2842928422,소기업,도시지역,"전기전자제품, 조명기구",해당없음,해당없음,무,,,126.950892,37.370389
기타 무선 통신장비 제조업,26429,소기업,도시지역,평판 위성 안테나,해당없음,해당없음,무,,,126.958945,37.392221
인형 및 장난감 제조업,33401,소기업,도시지역,"교육용 로봇, 수압펌프",해당없음,해당없음,무,,,126.973705,37.393089
텔레비전 제조업,26511,중기업,도시지역,티브이부품,해당없음,해당없음,유,0,0,126.936993,37.384862
기타 가정용 전기기기 제조업,28519,소기업,도시지역,세탁기부품,해당없음,해당없음,무,0,0,126.934219,37.389397
"여자용 겉옷 제조업,남자용 겉옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업",1.41E+24,소기업,도시지역,"여성기성복, 전투복, 기타의류",해당없음,해당없음,무,0,0,126.916109,37.40564
산업처리공정 제어장비 제조업,27216,소기업,도시지역,자동온도과승방지장치,해당없음,해당없음,무,0,0,126.936041,37.389963
"운송장비 조립용 플라스틱제품 제조업,기타 기계.장비 조립용 플라스틱 제품 제조업",2224122249,소기업,도시지역,전자부품,해당없음,해당없음,무,0,0,126.957008,37.371498
"기체 펌프 및 압축기 제조업,증류기, 열교환기 및 가스발생기 제조업,그 외 기타 일반목적용 기계 제조업",2.91E+14,소기업,도시지역,메카니칼씰,해당없음,해당없음,무,0,0,126.938711,37.388761
"수동식 식품 가공기기 및 금속 주방용기 제조업,주방용 전기기기 제조업",2599228511,소기업,도시지역,"주방기구, 산업용열식건조기",해당없음,해당없음,유,0,0,126.969622,37.398478
"근무복, 작업복 및 유사의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업",1.42E+14,소기업,도시지역,"어깨솜, 갬바스",해당없음,해당없음,무,0,0,126.937858,37.387582
산업처리공정 제어장비 제조업,27216,소기업,도시지역,PLC시스템(산업제어장비),해당없음,해당없음,무,0,0,126.974757,37.397099
"배전반 및 전기 자동제어반 제조업,유선 통신장비 제조업,산업처리공정 제어장비 제조업",2.81E+14,소기업,도시지역,중앙자동제어반,해당없음,해당없음,무,0,0,126.970959,37.398183
"유선 통신장비 제조업,기타 무선 통신장비 제조업,전자기 측정, 시험 및 분석기구 제조업,그 외 기타 전기장비 제조업",2.64E+19,소기업,도시지역,유무선통신장비,해당없음,해당없음,유,0,0,126.937066,37.390116
"유선 통신장비 제조업,전자기 측정, 시험 및 분석기구 제조업",2641027212,소기업,도시지역,"전자회로판시험기, 유선통신장비",해당없음,해당없음,무,0,0,126.936181,37.38399
"구두류 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업,기타 신발 제조업",1.52E+29,소기업,도시지역,"가죽갑피신발, 안전화",해당없음,해당없음,무,0,0,126.936041,37.389963
"배전반 및 전기 자동제어반 제조업,에너지 저장장치 제조업,기타 전기 변환장치 제조업",2.81E+14,소기업,도시지역,자동제어반,해당없음,해당없음,무,0,0,126.96757,37.401515
"주형 및 금형 제조업,텔레비전 제조업",2929426511,소기업,도시지역,금형제조및기타음향기기제조,해당없음,해당없음,유,0,0,126.936871,37.386339
기타 음향기기 제조업,26529,소기업,도시지역,호이스트카자동운행장치,해당없음,해당없음,무,0,0,126.930353,37.38728
"전기식 진단 및 요법 기기 제조업,그 외 기타 의료용 기기 제조업",2711227199,소기업,도시지역,적외선 귓속형 체온측정기,해당없음,해당없음,무,0,0,126.938553,37.391166
변압기 제조업,28112,소기업,도시지역,"AVR,UPS,트랜스포머,주파수변압기",해당없음,해당없음,무,0,0,126.936041,37.389963
"기타 전기 변환장치 제조업,에너지 저장장치 제조업",2811928114,소기업,도시지역,UPS,해당없음,해당없음,무,0,0,126.936041,37.389963
